# uuid IPESS_J1.0_JD0.2_D6_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.2, 6, 10, -0.49291853748260106, -0.73938126918846, -0.7393743432593433, 0.3142563299188505, 0.31425396509567266, 0.31425216916086424, -1.946153229478114e-05, -0.238675912222711, -0.23867583059927708, 1.7220503799912637e-05, -0.0576965533706024, -0.05769652288247314, -6.4352947507113745e-06, 0.2963723331431556, 0.29637215165470426, -0.24645918145509463, -0.24645927798218542, -0.24646280975117738, -0.24645711189466865, -0.24645217439774209, -0.2464650569669325, (0.9999725347564057-0.00741145956266977j), (0.3514842156351015-0.0026050836887648336j), (0.2354408137241428-0.0017450103954789469j), (0.9994838898462234+0.03212403987456022j), (0.35139490415855934+0.01129405336627492j), (0.2354037172675508+0.007566023550392692j)
1.0, 0.2, 6, 20, -0.49291960769791004, -0.7393824453578576, -0.7393763777358726, 0.31425134590389975, 0.31425033850967893, 0.31424917170664934, -1.983767533072402e-05, -0.23867221250567178, -0.23867282703688203, 1.6921704532683742e-05, -0.057692504050824614, -0.05769263703164756, -6.344251995139813e-06, 0.2963690100678641, 0.29636990487656495, -0.24646181289477997, -0.2464621827356968, -0.24645844972738637, -0.2464565065071127, -0.24645388692702092, -0.24646598430173897, (0.9996452560621195+0.026633851251735764j), (0.372066125253984+0.0099130706686949j), (0.2933393777008133+0.007815530801276133j), (0.9995357703074592+0.030467094969395224j), (0.37201852847109274+0.011339587083332468j), (0.2933340395870099+0.00894118527717919j)
1.0, 0.2, 6, 40, -0.4929195930665515, -0.7393824374445455, -0.739376341755109, 0.314251330654469, 0.31425029952122263, 0.3142490974295926, -1.983917922401624e-05, -0.23867229131839332, -0.2386722913184001, 1.6925149420210347e-05, -0.05769320670329843, -0.05769320670328608, -6.34034248190115e-06, 0.2963694822288813, 0.2963694822289307, -0.24646181793122646, -0.2464620404650569, -0.24645857904841098, -0.24645707682865065, -0.24645331038060075, -0.24646595454585773, (1-2.1387770865984695e-12j), (0.3847574736684858-1.8114823525722472e-11j), (0.33695824851322276-9.892330629634706e-11j), (1+5.742067720007616e-13j), (0.3847526786848633-3.625810759899231e-11j), (0.3369522759021615-1.0369412159434426e-10j)
1.0, 0.2, 6, 80, -0.49291959317385586, -0.7393824373698014, -0.7393763421517664, 0.31425132649041587, 0.31425029959518747, 0.3142491013122645, -1.983914924852321e-05, -0.23867260190818157, -0.23867260190817208, 1.692519856920533e-05, -0.057693179353056914, -0.05769317935314863, -6.340466783194056e-06, 0.29636918518933675, 0.2963691851893941, -0.2464615413447615, -0.24646168104797989, -0.24645921497720963, -0.24645651101937802, -0.24645358622470498, -0.24646624490768337, (1+6.540629576786925e-11j), (0.3906513956828626-7.84936091369229e-09j), (0.35903343857053155-3.162894831555289e-08j), (0.9999999999999999+1.4461533941814582e-11j), (0.390611436083018-5.916614415370187e-08j), (0.35890818894348964-2.124600876509347e-07j)
