# uuid IPESS_J1.0_JD0.07_D7_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.07, 7, 10, -0.44652639322309146, -0.6698282949309375, -0.6697508847383365, 0.20324268819534297, 0.2025574913302541, 0.2025437818198526, -0.0002679786569754235, -0.17038469139161458, -0.17038480466840766, -9.071063505271796e-05, -0.010331413867961013, -0.010331422570115552, 0.00033139720986160616, 0.18066132172770966, 0.18066139933883138, -0.22325056821615494, -0.22325723404568548, -0.22332049266911716, -0.22326112285552688, -0.22320835399166244, -0.22328140789114723, (0.9999671795831689-0.008101836611694722j), (0.2729474786297929-0.002211449767128404j), (0.18448196803629444-0.0014946950702351448j), (0.9999953054422998+0.0030641627505222395j), (0.27577968260338+0.0008450382088705615j), (0.18482923684608366+0.0005663509940306908j)
1.0, 0.07, 7, 20, -0.44652843003002535, -0.6698306714651772, -0.6697546186248987, 0.20324107058546728, 0.20255662195557522, 0.20254081660817175, -0.0002675999157554348, -0.17038473167575197, -0.17038471924456483, -8.926413113147309e-05, -0.010329670896573764, -0.010329670455131437, 0.000330196737156681, 0.18065742488665354, 0.18065739318135104, -0.22325518227643912, -0.22325869559778036, -0.2233167935909581, -0.2232605744361144, -0.22320994632487845, -0.22328409786390585, (0.9999893359556786+0.0046182220519463465j), (0.2853413803671679+0.0013177836735920572j), (0.2213334658011588+0.00102217750459954j), (0.9999849619572456+0.005484146183891403j), (0.28843408024294226+0.0015818386712811655j), (0.2230148969910136+0.0012230652211472027j)
1.0, 0.07, 7, 40, -0.44652846673586793, -0.6698306880809539, -0.6697547121266498, 0.2032410516553845, 0.20255661143497758, 0.20254076689742878, -0.0002675198964869786, -0.17038485587418006, -0.17038485864040376, -8.929511560905379e-05, -0.010329527737181767, -0.010329527987014255, 0.0003300689220685581, 0.1806572813441441, 0.18065728271606232, -0.2232552801197595, -0.22325845145642545, -0.22331695650470615, -0.22326043385618227, -0.22321015954908985, -0.22328411872137766, (0.9999998240902199-0.000593143767679463j), (0.2873945446664354-0.00017046630468646261j), (0.22844893924443313-0.0001355030537857194j), (0.9999997828475172+0.000659018147113473j), (0.29119926296616017+0.00019190559989876546j), (0.231836144950672+0.00015278404163632944j)
1.0, 0.07, 7, 80, -0.4465284668989021, -0.6698306901324803, -0.6697547105642258, 0.2032410481840706, 0.20255661573157444, 0.20254077514460542, -0.0002675192218715729, -0.17038496188603786, -0.17038496188607838, -8.929848980129486e-05, -0.010329425717706234, -0.010329425717894242, 0.0003300698224354621, 0.180657171088377, 0.1806571710892643, -0.22325520450293096, -0.22325830261700222, -0.22331718301258763, -0.22326033089743677, -0.22321020504633526, -0.2232841746204537, (1-2.1239205573647698e-10j), (0.29727346630844637+2.9908817652737365e-08j), (0.2623933773952753+1.1094148118926477e-07j), (1+1.4715562223758168e-11j), (0.3012465988694106+2.7945508911212524e-08j), (0.26685582957053416+1.0215959008838834e-07j)
