# uuid IPEPS_J1.0_JD0.05_D7_chi_opt80.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.05, 7, 10, -0.4422116550791215, -0.6635906484343794, -0.6630443168029853, 0.14472793098473974, 0.14463059638157938, 0.14471869367385298, 3.980028728521565e-06, -0.03977115910695656, -0.039771088803521086, -4.80889304630864e-05, 0.14033439474741613, 0.1403341531500111, 2.084924672229988e-05, -0.10041338874328495, -0.1004132075216233, -0.2215772629599163, -0.2213896491769059, -0.22062373629755566, -0.22053008611835237, -0.22114209082698874, -0.22137213985764406, (0.9999950598637101+0.003143286206348469j), (0.31775009477642363+0.0009987885681502137j), (0.1526495314778454+0.00047981624608654946j), (0.999990151096179-0.004438210297112914j), (0.32040925280683896-0.0014220548776721032j), (0.1584032636559317-0.0007030281368613075j)
1.0, 0.05, 7, 20, -0.4422546818450675, -0.6636783552046488, -0.6630856903305538, 0.14448074894942192, 0.14430352549159822, 0.1443765360899882, -1.2632082518459653e-06, -0.0397526136033674, -0.03975257690048909, -3.838857550348969e-05, 0.14000143660022968, 0.14000130599311789, 2.3743626889701892e-05, -0.100192200005037, -0.10019209740053091, -0.22151690091294324, -0.22141318632538842, -0.22074826796627142, -0.22051695428625512, -0.22120277889319553, -0.22136595715110305, (0.9999994806510434+0.0010191651699599424j), (0.38139345770419464+0.00038870816195978134j), (0.27718247317047534+0.0002825021364026124j), (0.9999978577241788-0.0020699147453724924j), (0.3842851338256198-0.0007954397580057514j), (0.283532182928578-0.0005868920774093144j)
1.0, 0.05, 7, 40, -0.4422593775268395, -0.6636866454034823, -0.6630914871770361, 0.1444562419347515, 0.1442805580023774, 0.14435370262297836, -2.155416529334149e-06, -0.0397505519280761, -0.03975055693423195, -3.5579937413502344e-05, 0.13997999506724657, 0.1399800153377205, 2.4771766723869223e-05, -0.1001731723581584, -0.10017318415033548, -0.221514701390215, -0.22142062533708504, -0.2207513186760755, -0.22052273028491834, -0.22120295874445048, -0.22136579814766721, (0.9999999996383349+2.6894802829055094e-05j), (0.38446071576605795+1.0339318376676385e-05j), (0.2829727543449908+7.609577780952936e-06j), (0.9999999941566234-0.00010810528682383445j), (0.38660694281616637-4.179423022996117e-05j), (0.2902797418972233-3.1380731475083244e-05j)
1.0, 0.05, 7, 80, -0.44225838204182005, -0.6636849507445087, -0.6630901953809515, 0.14445442618052906, 0.144279389174593, 0.1443536254299104, -2.1504192789832558e-06, -0.039749843060976904, -0.039749843060976106, -3.561557247230554e-05, 0.13997915885640286, 0.139979158856409, 2.4779227619042305e-05, -0.10017399143055256, -0.10017399143055015, -0.22151430289700344, -0.2214188766715316, -0.22075177117538045, -0.22052273815084447, -0.22120226306931132, -0.22136519416079567, (1-5.613412615243456e-16j), (0.39273383881825197-4.260756230388862e-14j), (0.3089075034706198+6.103384753815123e-13j), (1-1.5112397535634318e-15j), (0.39336992545906757-3.727539732414158e-13j), (0.31028006992357576-1.0505061926310504e-12j)
