# uuid IPEPS_J1.0_JD0.09_D3_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.09, 3, 10, -0.44991822257222924, -0.6738771329214497, -0.6758775347952382, 0.26693144797321877, 0.26677317014531426, 0.26677527148596614, 2.253067100227809e-07, -0.11740417162820987, -0.11740417162821133, 7.667094599927741e-06, 0.2661368667155474, 0.266136866715562, -6.130958266432039e-06, -0.14863012736269826, -0.14863012736269757, -0.22514223857333632, -0.2251565261023359, -0.22357836824578342, -0.22435294091127614, -0.22576316812587263, -0.2257614257580894, (1+3.2689801386160105e-16j), (0.07936929426260442-0.028243670170621078j), (0.0793692942619288+0.028243670171436613j), (1-2.4799831398629574e-16j), (0.07950523311924006+0.028369424191601565j), (0.07950523311553993-0.02836942419477906j)
1.0, 0.09, 3, 20, -0.4499182262932486, -0.6738771328779897, -0.6758775460017562, 0.26693145596143775, 0.266773174141948, 0.2667752748213112, 2.25316689651115e-07, -0.11740417507875162, -0.11740417507878169, 7.66714609406764e-06, 0.2661368708436269, 0.2661368708436122, -6.131021474249154e-06, -0.1486301329617332, -0.14863013296173064, -0.22514223719924958, -0.2251565257211331, -0.2235783699576048, -0.22435293774704207, -0.2257631763682217, -0.22576143188649242, (1+2.6506170938661454e-12j), (0.0932860456014063+0.04047378256623789j), (0.0932860440017731-0.040473779823688744j), (0.9999999999999999+1.6622925378075648e-12j), (0.09324171923849602+0.04054636315091562j), (0.09324171791770276-0.04054635870743576j)
1.0, 0.09, 3, 40, -0.44991822629828615, -0.6738771328828889, -0.6758775460119695, 0.2669314559490457, 0.2667731741064411, 0.2667752747972959, 2.2531784810688307e-07, -0.1174041750431623, -0.11740417504310151, 7.667146073201194e-06, 0.26613687080009485, 0.26613687080006276, -6.131021597654137e-06, -0.14863013291248564, -0.14863013291250032, -0.22514223725031932, -0.22515652574236128, -0.22357836989020052, -0.22435293778793328, -0.2257631763531803, -0.22576143187085593, (1-9.589897578898465e-11j), (0.09432714249681066-0.03858405261831999j), (0.09432712851524105+0.038584055612458285j), (1-1.1002821883996246e-11j), (0.09432854870494016+0.03869025971553405j), (0.09432854006991459-0.03869024346288334j)
1.0, 0.09, 3, 80, -0.44991822629828615, -0.6738771328828889, -0.6758775460119696, 0.2669314559490457, 0.2667731741064411, 0.2667752747972959, 2.2531784810688307e-07, -0.1174041750431623, -0.11740417504310151, 7.667146073201194e-06, 0.26613687080009485, 0.26613687080006276, -6.131021597654137e-06, -0.14863013291248564, -0.14863013291250032, -0.22514223725031932, -0.22515652574236128, -0.22357836989020052, -0.22435293778793333, -0.22576317635318036, -0.22576143187085598, (1-9.58990085321128e-11j), (0.09432714249680967-0.03858405261832096j), (0.09432712851524268+0.038584055612454385j), (1-1.100296810684633e-11j), (0.09432854870493924+0.03869025971553495j), (0.09432854006991377-0.0386902434628816j)
