# uuid IPESS_J1.0_JD0.25_D6_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.25, 6, 10, -0.5135076625677156, -0.7702612503309634, -0.7702617373721837, 0.3299766883343353, 0.3299795823766121, 0.3299828416756681, 7.0693315561469415e-06, -0.2790638192864737, -0.27906396869639266, 2.6717321588194863e-06, -0.012959921300253602, -0.012959918447229603, -9.406025538913784e-06, 0.2920337110591693, 0.29203355052100266, -0.25675086846740464, -0.2567437800270919, -0.2567666018364698, -0.25674282356604045, -0.2567535076454379, -0.2567654061607055, (0.9999887703715976-0.00473910652972721j), (0.4134706011553427-0.0019595083395588645j), (0.3078530422051927-0.0014589709120970042j), (0.9999908983910061+0.004266513230797251j), (0.4141845811214763+0.0017671456956637377j), (0.3096465924417983+0.001321130190634228j)
1.0, 0.25, 6, 20, -0.5135089436188358, -0.7702621593538386, -0.770264671502669, 0.329968565912428, 0.32997148008923205, 0.3299749681249136, 7.2642962624602526e-06, -0.27905718213435554, -0.27905700447796594, 2.6244445123308345e-06, -0.012959501513636354, -0.01295949262733192, -9.621482788839937e-06, 0.2920265373024404, 0.29202659029770944, -0.2567540128577803, -0.2567469129195334, -0.2567612335765288, -0.2567424441738705, -0.256755343237157, -0.25676688409164156, (0.9999741618941685+0.007188570376309023j), (0.4256322510049354+0.003059766029192227j), (0.3399384071182465+0.002443731099735756j), (0.9999999900020029+0.0001414071921325566j), (0.4263091652668594+6.02809926243365e-05j), (0.3417620278650298+4.832356783222242e-05j)
1.0, 0.25, 6, 40, -0.5135089352247856, -0.7702621549504924, -0.7702646507238644, 0.3299685672082807, 0.3299714492945968, 0.32997493529878047, 7.264827692801557e-06, -0.2790556743000192, -0.2790556743000347, 2.624751966530867e-06, -0.012962765809044707, -0.012962765809111473, -9.613850274483669e-06, 0.2920277083126091, 0.2920277083125422, -0.25675392442984313, -0.256746769453819, -0.256761461066924, -0.25674191663352375, -0.2567554301016265, -0.2567673039887143, (1-5.681099889677959e-12j), (0.4394154385535782-7.297928993823203e-11j), (0.38803860260244055-2.2871211400745266e-10j), (1-2.8673193937824357e-13j), (0.43960821279960965+9.914811505793014e-12j), (0.38825845531166797+6.10456037886202e-11j)
1.0, 0.25, 6, 80, -0.513508935199016, -0.7702621573518049, -0.7702646482452431, 0.32996857315376454, 0.3299714455676155, 0.32997493312545567, 7.26510882834332e-06, -0.27905584089788266, -0.27905584089791174, 2.624560697331566e-06, -0.012961705271512141, -0.012961705271601339, -9.613835424860618e-06, 0.2920273657975592, 0.2920273657976084, -0.2567537085167836, -0.2567473110430112, -0.25676113779213044, -0.2567421312191611, -0.2567557142946627, -0.25676680273141933, (1-3.807610086866338e-11j), (0.44568932911781395-5.014469126388209e-09j), (0.41153921676619676-1.570127749930448e-08j), (0.9999999999999999-1.4884022683290777e-12j), (0.44588310482182436-1.512045916019217e-08j), (0.4117633867713072-5.0603456791916976e-08j)
