# uuid IPESS_J1.0_JD0.25_D8_chi_opt20.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.25, 8, 10, -0.5137118456039791, -0.7705729701578805, -0.7705625666540569, 0.32388534367933003, 0.32389872069764697, 0.32389317710140675, 1.1328625803841777e-05, -0.2734040982040017, -0.27340601055945507, -5.40712553563672e-06, -0.013676170963481534, -0.013676254529659477, 3.5076897287656893e-06, 0.287087703310216, 0.28708993896930257, -0.256864154571321, -0.25684016931938425, -0.2568686462672014, -0.25686165489115675, -0.2568515952042322, -0.25684931655866805, (0.9999965690517114+0.0026195199571300673j), (0.5442824397842236+0.001425764881875517j), (0.42839140020316596+0.0011221849495901114j), (0.9999969585156995+0.0024663656156866964j), (0.5441040843268884+0.0013419593732190043j), (0.4280915737313213+0.0010558261658262208j)
1.0, 0.25, 8, 20, -0.5137151773344156, -0.7705758265888725, -0.7705697054143745, 0.3238588850219383, 0.32386744877310847, 0.3238630513320255, 1.1649513210108262e-05, -0.273381862275007, -0.2733793361493283, -6.167153034179799e-06, -0.013682850623734413, -0.013682725370033476, 3.900733173788209e-06, 0.28706456485059684, 0.2870620188403822, -0.25686750494788013, -0.25684490413810224, -0.2568634175029762, -0.25686150135935726, -0.25685599778133683, -0.2568522062736804, (0.9999996648859356+0.0008186745485940367j), (0.5501283391888417+0.0004503732262988953j), (0.4430146181927677+0.0003626829686394186j), (0.9999965428229509+0.002629513671002057j), (0.5499595092641167+0.0014461283111753258j), (0.44270436505316385+0.0011640957720439565j)
1.0, 0.25, 8, 40, -0.5137152188021569, -0.770575882267647, -0.7705697741388238, 0.3238584431108577, 0.3238669784664805, 0.32386258673144674, 1.1652125335549842e-05, -0.27338063135383767, -0.27338058373311275, -6.171723807284753e-06, -0.013682137848927344, -0.013682136900031151, 3.8902068595532904e-06, 0.2870625791985593, 0.2870625576435361, -0.25686791624355915, -0.256845228160212, -0.2568627378653118, -0.2568615230262442, -0.2568559855847794, -0.25685226552780016, (0.9999943738837301+0.0033544300389746515j), (0.5666636618025547+0.0019008425143929874j), (0.5014637699411412+0.0016821264001494179j), (0.9999990445836097-0.0013823284225775326j), (0.5665402122967217-0.0007831458854600467j), (0.5013192997534409-0.0006929956069585633j)
1.0, 0.25, 8, 80, -0.5137152185715588, -0.7705758809637006, -0.7705697747509754, 0.3238584426125206, 0.3238669783123547, 0.32386257362498094, 1.1652953876378903e-05, -0.27337629469203933, -0.27337629469203034, -6.172027446958326e-06, -0.013690035176990852, -0.013690035176653598, 3.88798286694382e-06, 0.28706615927090307, 0.28706615927081164, -0.25686755256252336, -0.2568455554702933, -0.2568627729334933, -0.2568614319610779, -0.2568561552613298, -0.25685218752856764, (1+7.063019889566932e-12j), (0.574699611682886-1.0203617812726824e-09j), (0.5309552585030425-3.831869883722023e-09j), (1+1.2378795040529285e-11j), (0.574574726632576-2.855478968705401e-10j), (0.5308162905837117-9.478882085880836e-10j)
