# uuid IPEPS_J1.0_JD0.02_D3_chi_opt10.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.02, 3, 10, -0.4304029729771921, -0.6475571740776497, -0.6436517448539265, 0.16849227486435214, 0.16721688368673113, 0.16722111354613, 1.4713530789616662e-06, -0.07751532409510078, -0.07751532409510016, 2.037498642625615e-06, 0.1670536222148815, 0.16705362221487882, -3.107159661338459e-06, -0.09030358957124998, -0.09030358957124844, -0.2152599965280957, -0.21526446488181275, -0.21703271266774923, -0.21012391195128002, -0.21676443370175733, -0.21676339920088925, (1-1.2361844068740757e-15j), (0.12411103249275873-0.020044699563641324j), (0.12411103249275117+0.02004469956364192j), (1+2.0302845400060726e-16j), (0.12411528792942642-0.020032263932925478j), (0.1241152879294209+0.020032263932929294j)
1.0, 0.02, 3, 20, -0.4304030196895584, -0.6475572066784473, -0.643651852390228, 0.1684922060797158, 0.167217195096637, 0.1672213708281603, 1.4721225400207524e-06, -0.07751531550029078, -0.07751531550027882, 2.036657015199687e-06, 0.1670539463817249, 0.1670539463817198, -3.1064748668031498e-06, -0.09030413157151566, -0.09030413157151725, -0.2152600976046751, -0.2152646217215399, -0.21703248735223046, -0.2101236797889315, -0.21676464845996313, -0.2167635241413334, (0.9999999999999999-3.462847553340895e-14j), (0.1263136710737425-0.01725541928682701j), (0.12631367106727073+0.017255419294015112j), (1-1.0243152171471452e-14j), (0.12636351826465625-0.017314364183437694j), (0.12636351825690315+0.017314364183907107j)
1.0, 0.02, 3, 40, -0.43040302050023016, -0.6475572068404095, -0.6436518546602809, 0.1684922052728731, 0.16721719624910564, 0.16722137183294752, 1.472114878871972e-06, -0.0775153152371884, -0.0775153152372138, 2.0366518877452395e-06, 0.16705394752298452, 0.16705394752299227, -3.106488314460717e-06, -0.0903041318300957, -0.0903041318300999, -0.21526009764007817, -0.21526462190269918, -0.2170324872976304, -0.21012368002779477, -0.2167646494235855, -0.21676352520890044, (0.9999999999999999+1.5347302604359285e-11j), (0.13107041944738607+0.01651406624321584j), (0.13107041798156055-0.01651406653836561j), (1+4.832388091940081e-13j), (0.13106759859316272-0.016534268850398298j), (0.13106759546295543+0.01653426742205405j)
1.0, 0.02, 3, 80, -0.4304030204982701, -0.6475572068408292, -0.6436518546539813, 0.16849220526328829, 0.16721719625138456, 0.16722137183602767, 1.4721148701939038e-06, -0.07751531523200347, -0.07751531523194763, 2.0366518808073065e-06, 0.16705394752531, 0.16705394752530509, -3.1064883203568887e-06, -0.0903041318330242, -0.09030413183306821, -0.2152600976403399, -0.21526462190317605, -0.21703248729732216, -0.2101236800353731, -0.21676464941696005, -0.21676352520164816, (1+5.155520527425402e-10j), (0.13158059277539447-0.015873022707869767j), (0.13158058910005246+0.015873020288354037j), (1+5.5177695876350656e-11j), (0.1316219000939497+0.01585867769302457j), (0.13162188928460833-0.015858673214053046j)
