# uuid IPEPS_J1.0_JD0.02_D2_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.02, 2, 10, -0.41175560082677193, -0.6347628414849665, -0.6005039609953492, 0.3069330350935386, 0.32080085131484576, 0.3208001988330971, -7.92526211627919e-05, -0.13128081531783167, -0.13128081531783034, 0.00010173649038848735, 0.3193892093492477, 0.31938920934924425, -1.7644571010360217e-05, -0.17929226499668835, -0.1792922649966823, -0.22246132147592068, -0.22246263319956117, -0.18983888680948213, -0.173615710946299, -0.2134391115701939, -0.2134491384788562, (1-1.028590078100913e-10j), (0.10503340859329119-1.3091392192430221e-10j), (0.09727684084311633-2.2074573281638981e-10j), (1+1.2520646167963588e-11j), (0.10505340703739649-7.754539689131185e-12j), (0.0972955822977651-4.9678594068320064e-12j)
1.0, 0.02, 2, 20, -0.4117556008267746, -0.6347628414849648, -0.6005039609953591, 0.3069330350935321, 0.32080085131483566, 0.3208001988330621, -7.92526212088905e-05, -0.13128081531784094, -0.13128081531784727, 0.00010173649040376964, 0.3193892093492387, 0.3193892093492275, -1.76445710180432e-05, -0.17929226499668435, -0.17929226499667777, -0.2224613214759008, -0.22246263319957454, -0.18983888680948682, -0.1736157109462709, -0.21343911157023823, -0.21344913847885, (1-1.0214199994558178e-10j), (0.10503340843362845+1.1893550790005858e-11j), (0.09727684042098733+7.009044112836484e-11j), (1-9.903574113725954e-13j), (0.10505340671037527-1.4729753039557378e-10j), (0.09729558168877715-2.682772415445675e-10j)
1.0, 0.02, 2, 40, -0.41175560082677576, -0.6347628414849661, -0.6005039609953611, 0.30693303509353637, 0.3208008513148251, 0.3208001988330914, -7.925262116610319e-05, -0.13128081531784652, -0.13128081531784244, 0.0001017364903827129, 0.3193892093492117, 0.31938920934923903, -1.76445710048888e-05, -0.17929226499664952, -0.17929226499667864, -0.2224613214759003, -0.22246263319957887, -0.18983888680948474, -0.17361571094628003, -0.2134391115701858, -0.2134491384788953, (1+5.025938732804776e-10j), (0.10503340841634001-1.350015984038688e-12j), (0.09727684044752635+5.006049883246151e-11j), (1+3.6883879108106e-11j), (0.10505340687859692+4.00331555467616e-10j), (0.09729558205694677+7.325407196845077e-10j)
1.0, 0.02, 2, 80, -0.41175560082677576, -0.6347628414849661, -0.6005039609953613, 0.30693303509353637, 0.3208008513148251, 0.3208001988330914, -7.925262116610319e-05, -0.13128081531784652, -0.13128081531784244, 0.0001017364903827129, 0.3193892093492117, 0.31938920934923903, -1.76445710048888e-05, -0.17929226499664952, -0.17929226499667864, -0.2224613214759003, -0.22246263319957887, -0.18983888680948474, -0.17361571094628006, -0.21343911157018586, -0.21344913847889538, (1+5.025939769126579e-10j), (0.10503340841633885-1.3504895421601584e-12j), (0.09727684044752787+5.006147846808479e-11j), (1+3.6883908704198055e-11j), (0.10505340687859716+4.0033097231474447e-10j), (0.09729558205694591+7.325422775473952e-10j)
