# uuid IPESS_J1.0_JD0.03_D4_chi_opt20.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.03, 4, 10, -0.4306707538829091, -0.6459982877500345, -0.6460139738986929, 0.20836821020706528, 0.2083521452730164, 0.2083545054970053, 3.0095362797532776e-06, -0.18383460332424395, -0.18383460332434004, -1.5905677455577754e-05, 0.006976031670282305, 0.00697603167039934, 1.5337900155880504e-05, 0.17685878593313717, 0.17685878593325893, -0.21532466792943497, -0.21533238708686797, -0.21534123273372666, -0.2153429125120565, -0.21533532313994092, -0.21533573824669547, (0.9999731172968644-0.007332440493548484j), (0.083222283663638-0.0006102388452031867j), (0.08030074396813096-0.000588816255724352j), (0.999999983047377+0.0001841337715835052j), (0.08325886384874155+1.5330768504206782e-05j), (0.08036215872658224+1.4797387553772564e-05j)
1.0, 0.03, 4, 20, -0.4306708049767513, -0.6459983998566998, -0.6460140150735539, 0.20836834167445406, 0.20835227245944096, 0.20835464852653232, 3.001148478261129e-06, -0.18383472194741374, -0.18383472194735598, -1.5718886552009587e-05, 0.006975933028067936, 0.00697593302777261, 1.5507524881912554e-05, 0.17685886654511024, 0.17685886654496488, -0.21532469607300922, -0.21533238744010638, -0.21534131634357956, -0.2153428956397303, -0.2153353344169409, -0.21533578501688275, (1+1.1538238739837216e-12j), (0.09222492205890195+1.0330941346146947e-08j), (0.08575727302557373+9.069684099808707e-10j), (1+4.67120989366944e-13j), (0.09210196534285088-1.2777475952510772e-08j), (0.08576525323803892-5.801024609027561e-10j)
1.0, 0.03, 4, 40, -0.43067080494335624, -0.6459983998176562, -0.6460140150124126, 0.20836834169935017, 0.20835227254940403, 0.20835464874179516, 3.0011448546452238e-06, -0.1838347219580254, -0.18383472195804573, -1.571891169868593e-05, 0.006975932881763374, 0.0069759328818736, 1.550751997573536e-05, 0.1768588666336027, 0.1768588666332313, -0.2153246960741517, -0.21533238746961503, -0.21534131627387917, -0.21534289562109094, -0.2153353343873352, -0.2153357850039865, (1-1.502630516963014e-10j), (0.09206616861787928+7.503530460149113e-09j), (0.08576109769212041-2.9221847535994633e-10j), (1-4.500896653750258e-12j), (0.09203528101314139-9.582412859098025e-10j), (0.08571736929078382+2.4431755217934663e-09j)
1.0, 0.03, 4, 80, -0.4306708049433399, -0.6459983998176112, -0.6460140150124086, 0.20836834169931948, 0.20835227254921773, 0.20835464874195997, 3.001144852838014e-06, -0.18383472195808234, -0.18383472195827844, -1.5718911421467833e-05, 0.006975932881522798, 0.006975932882232058, 1.5507520193499535e-05, 0.17685886663365524, 0.17685886663348502, -0.215324696074277, -0.21533238746931332, -0.215341316274017, -0.2153428956210625, -0.21533533438729321, -0.21533578500405284, (0.9999999999999999-1.476255454809345e-10j), (0.09206613663430643+2.093718578451048e-09j), (0.08576108405331995-4.036834133408942e-09j), (1-4.43886920061612e-12j), (0.09203523944305343-5.3215242371468e-09j), (0.08571735962383259-2.056538799309301e-09j)
