# uuid IPEPS_J1.0_JD0.15_D7_chi_opt80.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x
1.0, 0.15, 7, 10, -0.4737357094485064, -0.7106994925705732, -0.7105076357749464, 0.2781620933124515, 0.2782477941418089, 0.2782337978415793, 1.4158537366512144e-05, -0.2123945093476227, -0.2123945507803403, 3.003458732229991e-05, 0.2618268830491668, 0.26182699523397907, -4.616489432874114e-05, -0.049389370938396314, -0.04938937663709825, -0.23700235837351533, -0.23697897335166998, -0.23671816084538522, -0.2367378202694767, -0.23688926670847973, -0.23688054879698991, (0.9999642714047078-0.00845316000390728j), (0.48129074287937085-0.004068572021279915j), (0.3176693072857807-0.002685404791689145j)
1.0, 0.15, 7, 20, -0.4737371166937067, -0.7107015654139552, -0.7105097846671649, 0.27810268062007476, 0.27821418863392816, 0.2782011616104067, 1.0298020543329216e-05, -0.21235856987575807, -0.2123585678790824, 3.054920558468911e-05, 0.2617848517077512, 0.26178484933265994, -4.5063412631152525e-05, -0.04938631536323906, -0.04938631487973096, -0.23699856201722647, -0.236986070618718, -0.23671693277801928, -0.23673277789962896, -0.23689170195974749, -0.23688530480778844, (0.9999804537855344-0.006252363303350894j), (0.5029865316975082-0.00314491610928496j), (0.37992591601477116-0.0023754817227707114j)
1.0, 0.15, 7, 40, -0.47373328039971796, -0.7106963408512241, -0.71050350034793, 0.27810066937203953, 0.2782128613655905, 0.2781993896535075, 1.0085025954849587e-05, -0.21235619750881807, -0.2123561851424534, 3.091029006068609e-05, 0.26178362194636134, 0.2617836040887789, -4.51532101834893e-05, -0.04938636050929178, -0.04938636022194123, -0.2369947052671359, -0.23698494838564188, -0.23671668719931374, -0.23673391196402402, -0.2368891300016893, -0.2368804583822167, (0.9999967348994988-0.0025554237107843123j), (0.5214295111487643-0.0013324771118515368j), (0.44358119665927775-0.0011335398319048198j)
1.0, 0.15, 7, 80, -0.4737332776676705, -0.7106963418555208, -0.7105034911474908, 0.2781006408713236, 0.2782128365609694, 0.2781993868648627, 1.0080401721455283e-05, -0.21235660885235733, -0.21235660885228552, 3.089561258829088e-05, 0.2617834013421236, 0.261783401342137, -4.5137996015588614e-05, -0.04938521716769821, -0.04938521716774978, -0.23699508906415456, -0.23698508791688577, -0.23671616487976122, -0.2367344332713976, -0.2368887047489933, -0.23688035312709982, (1+7.336312948346667e-13j), (0.5281290607954279-5.368406004074894e-11j), (0.4661990249659379-2.425213091792969e-10j)
