# uuid IPEPS_J1.0_JD0.25_D6_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.25, 6, 10, -0.5137148232734913, -0.7706297097774586, -0.7705147600430151, 0.32262052616842046, 0.3226020233414078, 0.3225975554316666, 1.4127656857398458e-06, -0.10034211103886716, -0.10034132640656675, -2.428631223217171e-07, 0.31569406330606253, 0.31569150714485966, -5.408817891140505e-06, -0.21536763142967416, -0.21536589509839718, -0.2568923029974938, -0.25689412665303063, -0.2568432801269337, -0.25673558930271556, -0.2568887624683339, -0.2568904082719655, (0.9999998915994706+0.00046561899375733787j), (0.5656386746827018+0.00026337693996007257j), (0.4071457757701845+0.0001895799517658669j), (0.9999907281110407-0.004306238724268482j), (0.5655112887215935-0.0024352520198046897j), (0.4069878788081006-0.0017526119233504402j)
1.0, 0.25, 6, 20, -0.5137186247583002, -0.7706389748991218, -0.7705168993757789, 0.3225460758599013, 0.32255726412067615, 0.32255248532515746, 7.983091839676508e-07, -0.10031955323256726, -0.10031964719380981, 7.238387897762426e-07, 0.31564848346100083, 0.31564897581062007, -4.186106631626268e-06, -0.21533037380771147, -0.2153305811203251, -0.25689775481493743, -0.25690051899071575, -0.25684070109348905, -0.25675906814021293, -0.25687694037005016, -0.25688089086551585, (0.9999991607746301+0.0012955500899500389j), (0.5866447562769347+0.0007600314722244758j), (0.4627555409993199+0.0005995256102430678j), (0.9999964626905726+0.002659813215688257j), (0.5866473008790906+0.001560374624787678j), (0.4627886291173806+0.001230929097429646j)
1.0, 0.25, 6, 40, -0.5137184650474048, -0.77063844311106, -0.7705169520311542, 0.32254454238735186, 0.3225562593747562, 0.32255148627879726, 7.999282679843498e-07, -0.10032078774187109, -0.10032078774187358, 6.928430082519895e-07, 0.3156480924461995, 0.31564809244618997, -4.275077451101806e-06, -0.21532843091816545, -0.2153284309181666, -0.2568975085441198, -0.25690033678803953, -0.2568405977788212, -0.25675953808479185, -0.25687656540860515, -0.2568808485377573, (1+5.1198884360794475e-14j), (0.6072653103522809-5.789393683318057e-13j), (0.5340395997959781-2.2012849339541555e-12j), (1-1.3159536982176563e-15j), (0.6071427832479693-1.0655825881045792e-12j), (0.5336635800359547-1.9663622270966522e-12j)
1.0, 0.25, 6, 80, -0.5137184628883595, -0.7706384472412, -0.7705169414238787, 0.3225445112460941, 0.3225562357563562, 0.3225514578676078, 7.976441482552017e-07, -0.10032053243610269, -0.10032053243609514, 6.966107295697611e-07, 0.315648063186913, 0.31564806318690275, -4.278578064183485e-06, -0.215328275719268, -0.21532827571927599, -0.2568978771631796, -0.25690016182224695, -0.2568404082560188, -0.25675971706794504, -0.25687618450275046, -0.2568810398531832, (1-4.425139368003759e-13j), (0.6160237971519265+3.402321553450086e-11j), (0.566171882914521+1.295674625679225e-10j), (1+1.741815349874406e-13j), (0.6160613897518958+1.1425496579880502e-10j), (0.566358681945009+4.547127858738925e-10j)
