# uuid IPESS_J1.0_JD0.0_D4_chi_opt20.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.0, 4, 10, -0.4235686954178164, -0.6353527291169814, -0.6353533571364678, 0.16430193909038987, 0.16429552267256364, 0.16429841978100926, 0.007859410245932383, 0.16411385569703937, 0.16411385099115797, -0.14605085054434572, -0.07524736925919293, -0.07524738580588075, 0.13819186423778407, -0.08886496656968697, -0.0888649341338565, -0.21178380435955185, -0.21178309695559827, -0.21178582780182947, -0.21178763603889839, -0.21178705735702155, -0.2117786637405478, (1+0j), (0.10065826339765303+0j), (0.08611754808754019+0j), (1+0j), (0.10058904426637925+0j), (0.08631091796837315+0j)
1.0, 0.0, 4, 20, -0.42356871157259973, -0.6353527128341447, -0.6353534218836544, 0.1643023124820671, 0.16429602880114308, 0.16429835653049754, 0.007859444654449089, 0.16411422551587407, 0.16411422551589416, -0.14605105843059824, -0.07524807911927445, -0.07524807911910746, 0.13819196523531535, -0.08886467635136133, -0.08886467635126766, -0.211783749971437, -0.21178321083081839, -0.21178575203187552, -0.2117877973618587, -0.21178674950034548, -0.21177887502145018, (1+0j), (0.10225772188522808+0j), (0.09635869421074654+0j), (1+0j), (0.10231160325969844+0j), (0.0964608216344064+0j)
1.0, 0.0, 4, 40, -0.4235687119091632, -0.6353527129646297, -0.6353534227628599, 0.16430231294376807, 0.16429602884139957, 0.16429835751850166, 0.007859444620198731, 0.16411422597977832, 0.16411422597973066, -0.1460510579084769, -0.07524808022088772, -0.0752480802200847, 0.13819196651978036, -0.08886467618054894, -0.088864676180543, -0.2117837501870773, -0.2117832107256733, -0.21178575205187822, -0.21178779762040076, -0.21178674995267172, -0.21177887518978739, (1+0j), (0.10524697758920133+0j), (0.09325515122386085+0j), (1+0j), (0.1051556587917546+0j), (0.09393741100426102+0j)
1.0, 0.0, 4, 80, -0.4235687119092926, -0.6353527129651116, -0.6353534227627661, 0.1643023129444446, 0.16429602883319974, 0.16429835751387376, 0.007859444620290925, 0.16411422598046652, 0.1641142259803883, -0.1460510579022998, -0.07524808021459568, -0.07524808021454849, 0.13819196651645463, -0.08886467617694055, -0.08886467617738227, -0.21178375018700327, -0.21178321072647413, -0.2117857520516297, -0.21178779762053612, -0.21178674995263075, -0.2117788751895992, (1+0j), (0.10524679008089537+0j), (0.0932545720910222+0j), (1+0j), (0.10515575062973027+0j), (0.09394014937312282+0j)
