# uuid IPEPS_J1.0_JD0.2_D6_chi_opt80.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.2, 6, 10, -0.4931712343556725, -0.739861785835917, -0.7396519172311002, 0.3059150147476498, 0.30591056332259914, 0.3059188779429288, -3.3586412168733574e-06, -0.10470575295465959, -0.1047053316281648, -8.359884563228087e-07, 0.30127808666425077, 0.301276719719095, -2.143711587212005e-06, -0.1965874381109778, -0.196586578973327, -0.24665562908001462, -0.2466614843760486, -0.2465446723798578, -0.24643219559438445, -0.24660874844394653, -0.2466109731927692, (0.9999995016155355+0.0009983830328999124j), (0.5082388247055598+0.0005074152337691831j), (0.33931715105124977+0.0003387668351692895j), (0.999997412696947+0.0022747745849235955j), (0.5084494214030363+0.0011566106882744734j), (0.3400253934631661+0.0007734782683618538j)
1.0, 0.2, 6, 20, -0.49317867603046106, -0.7398701302989179, -0.7396658977924653, 0.30587598928369536, 0.30587375150446744, 0.305877784053593, -2.822480417640225e-06, -0.10469656814583242, -0.10469666436555224, 3.4769951283745622e-06, 0.3012405635526644, 0.3012409361632489, 7.206283596412042e-07, -0.19655161979391075, -0.19655178832861958, -0.24665594970392524, -0.24666400371813252, -0.24655017687687467, -0.24643166279577167, -0.2466186744843337, -0.24661556051235994, (0.9999994426608314+0.0010557831343135469j), (0.5375744078762347+0.000567565563165478j), (0.4233884018098095+0.0004470138113109076j), (0.9999981656822323+0.0019153673722208289j), (0.5372580234648827+0.0010290466423318336j), (0.42251100763565624+0.0008092599063230016j)
1.0, 0.2, 6, 40, -0.49317856030836044, -0.739869978804814, -0.7396657021202676, 0.3058748418106109, 0.3058732529922837, 0.3058771041738749, -2.842775738515172e-06, -0.10469671359490748, -0.10469671359491342, 3.44728043786635e-06, 0.30124045357926144, 0.30124045357927604, 7.672743868403215e-07, -0.19655032752562232, -0.1965503275256411, -0.24665628679209098, -0.24666337840470481, -0.24655031360833815, -0.24643163715062955, -0.24661798644093796, -0.2466160785287002, (1+1.1802353737113583e-13j), (0.5557022452266921+2.5541414920233757e-12j), (0.48465658602086514+8.585869183487245e-12j), (1+3.8275176883653915e-14j), (0.5553114015282892+1.4441459303418986e-11j), (0.4831443258863908+5.0076957208056556e-11j)
1.0, 0.2, 6, 80, -0.4931785622144848, -0.7398699806291443, -0.7396657060143101, 0.3058748282454302, 0.3058732330023129, 0.3058770874359161, -2.8440614071687894e-06, -0.10469670879626002, -0.10469670879625269, 3.444654275788304e-06, 0.30124043463858846, 0.301240434638611, 7.690155255833177e-07, -0.19655031126102998, -0.19655031126106348, -0.24665628929737274, -0.24666337275885963, -0.24655031857455756, -0.24643163637798265, -0.2466179837474489, -0.24661608588887846, (0.9999999999999999+3.044567667958876e-12j), (0.5642929834896495+4.5599039326992135e-10j), (0.5154383041602454+1.6418228440165747e-09j), (1+1.6167480488862232e-12j), (0.5644938540062318+8.968565992612979e-11j), (0.5163144117877502+2.4447747173943026e-10j)
