# uuid IPESS_J1.0_JD0.08_D7_chi_opt20.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.08, 7, 10, -0.4494251490497539, -0.674131518496621, -0.6741439286526407, 0.21904164814939134, 0.21886903730466156, 0.21868180504226822, 2.9869040254098647e-06, -0.2173274098178447, -0.21732747474899497, -2.3757525893994774e-05, 0.08516419136923627, 0.08516419750567829, 2.1889512505718653e-05, 0.1321074081793398, 0.13210741324222694, -0.2246751363665593, -0.22467922713142824, -0.22477715499862536, -0.224766422939007, -0.22470590553601338, -0.22467160017762028, (0.9999831918538322-0.005797931512321247j), (0.2736396279188559-0.0015865716618435584j), (0.17916121473582958-0.0010387847815287175j), (0.9999712320825591+0.007585183405066674j), (0.27562632804768233+0.0020907367194054113j), (0.18119087698668238+0.001374406867850904j)
1.0, 0.08, 7, 20, -0.4494265289958006, -0.674133752306865, -0.6741458346805371, 0.2190400456612657, 0.21886755767480118, 0.21867746251884176, 3.0088490102533094e-06, -0.21732581606521947, -0.21732582066828177, -2.3673883333227702e-05, 0.08516458034516132, 0.08516455877489547, 2.15915064564856e-05, 0.132104357543673, 0.1321043280240547, -0.22467570903197837, -0.22468338403354213, -0.22477465924131995, -0.22476553210223948, -0.2247070097846728, -0.2246732927936248, (0.9999837607989359-0.005698959415252326j), (0.2880711168564457-0.0016417332158868377j), (0.22238014838102352-0.0012673584138422026j), (0.9999766182845216+0.0068383392905201415j), (0.2898117244494232+0.001981877766357327j), (0.2239282279023165+0.0015313339848335547j)
1.0, 0.08, 7, 40, -0.4494265485428437, -0.674133772136678, -0.6741458734918531, 0.2190400352406512, 0.2188675054267175, 0.2186773632888364, 2.987139406459264e-06, -0.2173258362660433, -0.21732583424252702, -2.367974096566787e-05, 0.08516455215075865, 0.08516455078687876, 2.1600219379897335e-05, 0.13210412227851479, 0.13210412049934653, -0.22467576606956488, -0.22468317338255875, -0.2247748326845659, -0.22476539069623927, -0.22470709968118402, -0.2246733831144297, (0.9999999177044173-0.0004056983592985538j), (0.2966236471475918-0.00012034070618365374j), (0.25261170112907577-0.00010248708262303791j), (0.9999995101012139-0.0009898471256585557j), (0.2984227372232962-0.00029539218623566687j), (0.2536355260414542-0.00025105780586019537j)
1.0, 0.08, 7, 80, -0.4494265485072933, -0.6741337716428165, -0.6741458738790632, 0.21904003190618992, 0.21886750578405628, 0.21867736645681565, 2.9878180512125146e-06, -0.21732583021171215, -0.21732583021096297, -2.368043117812817e-05, 0.0851646888505957, 0.08516468885006793, 2.159995864474035e-05, 0.1321042083181323, 0.1321042083176276, -0.22467578982168304, -0.22468324703978362, -0.2247747347813574, -0.2247655681039522, -0.2247070342935376, -0.2246732714815735, (1+1.5210969285422034e-09j), (0.3010872534527645-1.0993971307237745e-07j), (0.2672785249292142-4.00672770587754e-07j), (1-1.165792255004828e-11j), (0.3023760888791672+4.8607528744921844e-08j), (0.26772903054783603+2.2167261738784536e-07j)
