# uuid IPEPS_J1.0_JD0.01_D3_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.01, 3, 10, -0.42850282519528815, -0.6456515674326686, -0.6398569081531957, 0.15186610428113725, 0.1501288685528901, 0.15012879732652432, 1.8149895896880067e-05, -0.07885956652097623, -0.07885956652097852, -8.355932447083973e-06, 0.15008160699705247, 0.1500816069970517, -8.714080806440149e-06, -0.07248802897766701, -0.07248802897766571, -0.21397641027414085, -0.21397999359022898, -0.21769516356830126, -0.2074685306001139, -0.21619512185996376, -0.21619325569311815, (0.9999999999999999-1.8738812660908126e-15j), (0.13997978231191235-0.017014192812507132j), (0.13997978231191105+0.017014192812515472j), (1+3.157179184293953e-17j), (0.139948994277826+0.017023440923662023j), (0.13994899427782426-0.017023440923653935j)
1.0, 0.01, 3, 20, -0.4285028676379656, -0.6456516254735235, -0.6398569774403732, 0.1518661652586286, 0.15012968174919933, 0.15012920831698562, 1.8151153960038142e-05, -0.07885984873776875, -0.07885984873777008, -8.384628236576825e-06, 0.15008241572225287, 0.15008241572226125, -8.68793900335612e-06, -0.07248908181346476, -0.07248908181346443, -0.21397660231542695, -0.2139800763401997, -0.21769494681788593, -0.20746783933169585, -0.2161957208606272, -0.2161934172480502, (1+3.835160160574351e-14j), (0.14352455411407503+0.012754876465177109j), (0.1435245541026113-0.012754876468230314j), (1-9.497642319618383e-15j), (0.14352851970470323-0.012969492033619093j), (0.14352851969702266+0.012969492039241167j)
1.0, 0.01, 3, 40, -0.4285028688565915, -0.6456516263814154, -0.6398569801883591, 0.15186616330541278, 0.15012968381728173, 0.15012921030790174, 1.8151173201791504e-05, -0.07885984786408888, -0.0788598478641214, -8.384740388469603e-06, 0.1500824177909317, 0.15008241779093534, -8.687876076982042e-06, -0.07248908245389081, -0.07248908245389674, -0.21397660226388515, -0.2139800767348691, -0.21769494738268486, -0.20746784037083923, -0.2161957217165641, -0.21619341810095583, (0.9999999999999999-6.2386941609072075e-12j), (0.14880461287331423-0.012553461102021924j), (0.14880461258802652+0.012553460674587498j), (0.9999999999999999-7.458516289757932e-13j), (0.1487565737304562+0.012662516660762254j), (0.14875657229737693-0.012662516481622258j)
1.0, 0.01, 3, 80, -0.42850286887844674, -0.6456516263845553, -0.6398569802507849, 0.15186616328044486, 0.1501296838215004, 0.1501292103133762, 1.8151173270536526e-05, -0.07885984785022168, -0.07885984785018375, -8.38474096609669e-06, 0.15008241779509335, 0.15008241779510123, -8.687875581409328e-06, -0.07248908246083108, -0.0724890824608272, -0.21397660226927825, -0.21398007673860345, -0.21769494737669642, -0.2074678403668492, -0.2161957217502391, -0.21619341813369652, (1-1.2058953007232665e-11j), (0.14951857214213074-0.012769557937086246j), (0.14951857053158712+0.01276955869954497j), (1+2.6056478819326052e-11j), (0.14950135490805141+0.012787049136264666j), (0.1495013544252728-0.012787043792050319j)
