# uuid IPEPS_J1.0_JD0.08_D3_chi_opt10.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.08, 3, 10, -0.44661080912552875, -0.6690687200559872, -0.6707637073205993, 0.2563736992443694, 0.2561921050739006, 0.25619549576742173, 4.978096906867105e-07, -0.11703904854566446, -0.1170390485456637, -3.2096002503553544e-07, 0.2558668850192867, 0.25586688501927735, 5.277597906100966e-07, -0.13873327820787676, -0.1387332782078657, -0.22355291656892473, -0.22355831897335482, -0.2219574845137114, -0.22244982755280102, -0.22415762085172872, -0.22415625891606963, (1-2.6824595133688426e-15j), (0.07555752673703706+0.04059032869932648j), (0.07555752673642255-0.04059032869973679j), (1-1.9521909638847392e-16j), (0.07568716660249067-0.04057715208444021j), (0.07568716660278316+0.0405771520837234j)
1.0, 0.08, 3, 20, -0.44661081512230616, -0.6690687192905811, -0.6707637260763375, 0.25637370683693506, 0.2561921159478367, 0.2561955045695616, 4.977920520065731e-07, -0.11703905090725736, -0.11703905090730878, -3.2104850075691123e-07, 0.2558668958320594, 0.2558668958320306, 5.278953967760932e-07, -0.13873329023501613, -0.13873329023501527, -0.22355292421235712, -0.22355832922051896, -0.2219574658577164, -0.22244982442326336, -0.2241576358610573, -0.22415626579201683, (1+2.2534956499844406e-12j), (0.08949531588546747-0.05117096250209298j), (0.08949531524905036+0.051170961645841936j), (1+1.4168709238665737e-12j), (0.08951580527448348+0.05118628367095619j), (0.08951580428001696-0.05118628219435003j)
1.0, 0.08, 3, 40, -0.44661081512345174, -0.6690687192804327, -0.6707637260899225, 0.2563737068365394, 0.25619211591640473, 0.25619550453567874, 4.977928605280254e-07, -0.11703905088840198, -0.11703905088845772, -3.210486060132431e-07, 0.25586689580049476, 0.25586689580048533, 5.278956143483127e-07, -0.13873329020993225, -0.13873329020987127, -0.22355292422589845, -0.22355832921003274, -0.221957465844512, -0.22244982440801175, -0.22415763586708726, -0.22415626581482334, (1-3.7495027019655774e-11j), (0.09042321333497341-0.049795115118728125j), (0.0904232046611047+0.049795104630543076j), (1+8.109278832386747e-12j), (0.0904254344569171+0.049782912299755136j), (0.0904254350202392-0.049782904366506675j)
1.0, 0.08, 3, 80, -0.4466108151234515, -0.6690687192804327, -0.6707637260899222, 0.2563737068365394, 0.25619211591640473, 0.25619550453567874, 4.977928605280254e-07, -0.11703905088840198, -0.11703905088845772, -3.210486060132431e-07, 0.25586689580049476, 0.25586689580048533, 5.278956143483127e-07, -0.13873329020993225, -0.13873329020987127, -0.22355292422589845, -0.22355832921003274, -0.221957465844512, -0.22244982440801164, -0.22415763586708737, -0.22415626581482326, (1-3.749503825282334e-11j), (0.09042321333497506-0.04979511511872792j), (0.09042320466110493+0.04979510463054393j), (1+8.109596676234524e-12j), (0.09042543445691968+0.04978291229975413j), (0.09042543502024065-0.04978290436650574j)
