# uuid IPESS_J1.0_JD0.09_D7_chi_opt20.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.09, 7, 10, -0.4525022212021896, -0.6787591329188538, -0.678747530687715, 0.2335278828849538, 0.23348991658721197, 0.2333929613611795, 7.099291843510564e-05, -0.15990272175818315, -0.1599028105556861, -0.00013051168687643665, -0.06732234549165586, -0.06732239111915503, 4.214185608325319e-05, 0.22720686754843472, 0.22720697318421204, -0.22625820822946613, -0.2262353620079253, -0.2262655626814617, -0.22627161838540905, -0.22623808315471977, -0.22623782914758625, (0.9999865098216739+0.005194244378883014j), (0.27299100391628256+0.0014180000358722565j), (0.17398665774816288+0.0009037381489392869j), (0.999803668740746-0.01981474129391235j), (0.27238049900227235-0.005398209208812674j), (0.17401148687685986-0.003448669849680953j)
1.0, 0.09, 7, 20, -0.4525032321457583, -0.678760743668989, -0.6787489527682861, 0.233526433103727, 0.23348785372662118, 0.2333899425522269, 7.096828226876839e-05, -0.15990240868594194, -0.15990245449433838, -0.00013100041167991524, -0.0673218299790199, -0.06732185866205088, 4.2280577580282025e-05, 0.22720360344626941, 0.2272036940844371, -0.22625966923078883, -0.2262359870074497, -0.22626508743074333, -0.22627039961949774, -0.2262393979752944, -0.22623915517349394, (0.9999458099636384+0.010410434004553031j), (0.2886661975560422+0.003005304021830084j), (0.22121312295458775+0.002303051221819772j), (0.9996681848838526-0.025758884506590606j), (0.28808058203912057-0.007423098708367865j), (0.22167650297406438-0.005712037161858494j)
1.0, 0.09, 7, 40, -0.45250320419970813, -0.6787606948904691, -0.6787489177086552, 0.2335264692597934, 0.23348784004578163, 0.2333899087300063, 7.098483865842807e-05, -0.15990231321084244, -0.1599023182067561, -0.0001310139877688125, -0.0673220970510884, -0.06732209912057562, 4.2306871502229064e-05, 0.22720363993116902, 0.22720364746368257, -0.2262596819400131, -0.22623591417927463, -0.2262650987712926, -0.22627042070665648, -0.22623937511190373, -0.2262391218900949, (0.9999999917990475+0.00012806992162278915j), (0.29875091832878303+3.825973098866712e-05j), (0.2560290390269212+3.2784238070923994e-05j), (0.9999999825896865-0.0001866028581608129j), (0.2980303509904285-5.561377760343512e-05j), (0.25565361596074093-4.770740911535406e-05j)
1.0, 0.09, 7, 80, -0.45250320438855457, -0.678760695390465, -0.6787489177751986, 0.2335264677468779, 0.23348783955709132, 0.23338990911132376, 7.098528034724974e-05, -0.15990245735783232, -0.15990245735799355, -0.00013101360637789153, -0.06732197092866, -0.0673219709286645, 4.230599158846201e-05, 0.22720358463325244, 0.22720358463345158, -0.2262596343173078, -0.22623582073378107, -0.22626524033949968, -0.2262703410566851, -0.2262394172461387, -0.2262391594723749, (0.9999999999999999+1.3260845102836132e-10j), (0.3011236841844972+4.756580609205097e-08j), (0.26441426296644566+1.8055111389921878e-07j), (0.9999999999999999-2.280730475943133e-11j), (0.2998376020493917+1.3018263999912974e-07j), (0.2618480847482036+5.063025650362747e-07j)
