# uuid IPESS_J1.0_JD0.06_D4_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.06, 4, 10, -0.43944011714191894, -0.6591626616010006, -0.6591576898247564, 0.2481763762837606, 0.2481685664569793, 0.24819089409699402, -9.048403253985451e-06, -0.20517497333301754, -0.20517497688563188, -8.420049511558154e-06, -0.01833898870301154, -0.018338988515734025, 9.359707512800298e-06, 0.22352345276707022, 0.22352346385008, -0.21972108941101348, -0.21973346579912675, -0.21970810639085334, -0.21972357798035147, -0.21971110120445533, -0.21972301063994965, (0.999999008528318-0.0014081698693849936j), (0.09854202502400065-0.00013876399643639956j), (-0.0485338041862401+0.0709070493849771j), (0.9998342420993216-0.018206820855803794j), (0.09841465671893598-0.0017921149836275631j), (-0.04734936729100502+0.07165884698944859j)
1.0, 0.06, 4, 20, -0.43944016269896796, -0.6591627531197142, -0.6591577349771898, 0.2481764507752498, 0.24816868074450718, 0.24819103069387602, -9.017135722681786e-06, -0.2051750533251755, -0.2051750533251775, -8.313040326339468e-06, -0.018339057738836814, -0.01833905773883148, 9.316751423591166e-06, 0.2235235448963093, 0.22352354489658655, -0.2197212002237123, -0.2197335046766331, -0.2197080482193709, -0.21972355869324978, -0.21971110985018605, -0.21972306643375394, (0.9999999999999999-1.322335580627304e-11j), (0.1024260318432843-1.1948219326100128e-08j), (0.0935156557214488-1.9058180193126988e-08j), (1-2.219129676706683e-13j), (0.10255623685199353+5.734854488447407e-09j), (0.09386592624328344+1.137785168450145e-08j)
1.0, 0.06, 4, 40, -0.4394401626911308, -0.6591627531031955, -0.6591577349701969, 0.24817645080024706, 0.24816868080014712, 0.2481910308215891, -9.017135649214224e-06, -0.20517505333630312, -0.2051750533360781, -8.313042015554698e-06, -0.018339057722583017, -0.018339057722606644, 9.316748704828106e-06, 0.22352354503149055, 0.22352354503112132, -0.21972120023728942, -0.2197335047049136, -0.21970804816099068, -0.21972355871191235, -0.21971110986108322, -0.21972306639720135, (1+6.673830107104573e-11j), (0.10149682667622324+6.870629953691624e-09j), (-0.05104359814331325+0.07663358964736708j), (1+1.5292382876314758e-11j), (0.1015678972554511-3.0982358856072643e-09j), (0.09210031634178156-2.3321005249752577e-08j)
1.0, 0.06, 4, 80, -0.4394401626911007, -0.6591627531031502, -0.659157734970152, 0.24817645080024459, 0.2481686808005487, 0.24819103082191776, -9.017135553402118e-06, -0.20517505333632194, -0.2051750533360742, -8.313041986426653e-06, -0.018339057721998682, -0.018339057722570426, 9.316748808347917e-06, 0.22352354503164595, 0.22352354503125627, -0.2197212002374456, -0.21973350470480088, -0.21970804816089892, -0.2197235587118932, -0.21971110986107947, -0.21972306639717934, (1+6.34540925912184e-11j), (0.1014968012503545+3.3869068291858702e-09j), (-0.05104358325223334-0.07663361218224365j), (1+7.963304659523733e-12j), (0.10156787379303422-9.500903760263865e-10j), (0.09210028764703694-1.288195392120911e-08j)
