# uuid IPESS_J1.0_JD0.01_D4_chi_opt20.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.01, 4, 10, -0.425733217052225, -0.6385998894243043, -0.6385997617323707, 0.178727451668528, 0.17872764768287072, 0.1787125971549782, -6.083502527295394e-05, -0.17463931302560884, -0.1746393130264248, 5.2275129162806715e-05, 0.0544253552694501, 0.05442535526954649, 1.2036315206709537e-05, 0.120214704983206, 0.1202147049837134, -0.2128586542238523, -0.2128653418406685, -0.2128758933597887, -0.21286132021922688, -0.21286427104498887, -0.21287417046815496, (0.9999978043051562+0.0020955631382262477j), (0.09196063872717665+0.0001927097477180493j), (0.08474229613553681+0.00017758322202981555j), (0.9999384123691398-0.011098264219422508j), (0.09205020462755964-0.0010216604140216184j), (0.08478218928875465-0.0009409930912127407j)
1.0, 0.01, 4, 20, -0.42573328698810603, -0.6386000546124448, -0.6385998063518733, 0.17872775966191645, 0.17872777203908882, 0.17871291936836242, -6.080950593796121e-05, -0.17463963208503175, -0.17463963208512767, 5.2261989757801e-05, 0.05442547414509811, 0.05442547414496954, 1.2025050975501766e-05, 0.12021496532309868, 0.12021496532323142, -0.2128586792265977, -0.21286512913194136, -0.21287624625392434, -0.2128614090448052, -0.2128641957286462, -0.212874201578422, (1+2.8699132491599416e-12j), (0.0941527312363243+8.066135583756711e-10j), (0.09274971596126635+9.121540771951468e-11j), (1-9.767322840625899e-16j), (0.09472551436885886-5.387024924573816e-09j), (0.09280552302222236-4.049712815655553e-11j)
1.0, 0.01, 4, 40, -0.4257332869715324, -0.6386000546186503, -0.6385998062959468, 0.178727759662631, 0.17872777167291662, 0.17871291935225964, -6.080957994806443e-05, -0.1746396320787105, -0.17463963207851071, 5.226210205789547e-05, 0.05442547419114877, 0.05442547419015845, 1.2024915972388426e-05, 0.12021496590119014, 0.1202149659006304, -0.2128586793162179, -0.21286512926490228, -0.21287624603755492, -0.2128614089651295, -0.21286419574780616, -0.21287420158301104, (1+1.2399850158668924e-10j), (0.09631485225132873-5.026952088142325e-08j), (0.09075070238472811-2.4634234918388752e-09j), (1-2.387361610276553e-13j), (0.09641494890400809-9.247520069356704e-09j), (0.09053039390972663-1.7045981162153344e-08j)
1.0, 0.01, 4, 80, -0.42573328697151386, -0.6386000546186332, -0.6385998062959084, 0.17872775966261023, 0.17872777167382664, 0.17871291935372796, -6.0809580006151506e-05, -0.17463963207857672, -0.17463963207859617, 5.2262102114396246e-05, 0.054425474190618335, 0.054425474191389135, 1.2024916170112167e-05, 0.12021496590160757, 0.12021496590292952, -0.21285867931625743, -0.21286512926485018, -0.21287624603755026, -0.21286140896515593, -0.2128641957477493, -0.21287420158300324, (1+1.3173109070775756e-10j), (0.09631486031301725+2.0938777880017305e-08j), (0.0907506506657348-1.1413604775879577e-08j), (1+7.643672058043589e-12j), (0.09641494106554974-1.4826234215995048e-09j), (0.09053044933832803+2.937812931449668e-09j)
