# uuid IPESS_J1.0_JD0.01_D2_chi_opt10.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.01, 2, 10, -0.39063103848027714, -0.5859468360605525, -0.585946279380279, 0.3802701528869195, 0.38026533140486174, 0.3802682533887099, 1.7093225417264824e-05, -0.37425878051057404, -0.3742587805105789, 1.1538123307112158e-06, 0.24544691936827018, 0.24544691936826782, -1.7005890895270544e-05, 0.12879738491110976, 0.1287973849110918, -0.19529910528353847, -0.19532370053583328, -0.19532403024118083, -0.19532624389261896, -0.19531771418129037, -0.19530232130636968, (1+1.553685832840131e-16j), (0.039025826141716534+7.27551051195859e-15j), (0.03251558349039497+7.109789906923855e-16j), (1-4.785634880299383e-16j), (0.039023662010232316-2.0231956252009105e-14j), (0.03251468309999877+1.9894019889722994e-14j)
1.0, 0.01, 2, 20, -0.390631038480265, -0.5859468360605059, -0.5859462793802891, 0.3802701528868937, 0.38026533140468477, 0.38026825338857856, 1.7093225416434884e-05, -0.37425878051054917, -0.3742587805105507, 1.1538123295949917e-06, 0.24544691936813198, 0.2454469193681865, -1.7005890892752e-05, 0.12879738491103218, 0.12879738491106046, -0.1952991052835246, -0.19532370053581088, -0.19532403024117043, -0.19532624389262182, -0.19531771418129448, -0.19530232130637284, (0.9999999999999999+1.0274698013690785e-15j), (0.03902582614162466-5.4984751919102695e-15j), (0.032515583490395045+1.889153143100298e-15j), (1+1.3089379719153494e-15j), (0.039023662010240594-1.5230834238177125e-15j), (0.032514683100066916+2.03231199148693e-17j)
1.0, 0.01, 2, 40, -0.3906310384803011, -0.5859468360606166, -0.5859462793802866, 0.3802701528869639, 0.38026533140480495, 0.3802682533886073, 1.7093225417397446e-05, -0.3742587805106234, -0.3742587805106178, 1.1538123231377807e-06, 0.2454469193681758, 0.2454469193682766, -1.7005890893237777e-05, 0.12879738491107576, 0.1287973849110543, -0.19529910528358155, -0.19532370053583975, -0.19532403024119524, -0.19532624389261918, -0.19531771418129382, -0.19530232130637376, (1+1.9009049021734775e-15j), (0.03902582614179938-4.591191693640304e-15j), (0.03251558349044395+5.495797569539506e-14j), (1-1.0434291940549695e-15j), (0.039023662010296-1.0749831226214874e-14j), (0.03251468309992626-3.7105802039283914e-14j)
1.0, 0.01, 2, 80, -0.39063103848030106, -0.5859468360606166, -0.5859462793802865, 0.3802701528869639, 0.38026533140480495, 0.3802682533886073, 1.7093225417397446e-05, -0.3742587805106234, -0.3742587805106178, 1.1538123231377807e-06, 0.2454469193681758, 0.2454469193682766, -1.7005890893237777e-05, 0.12879738491107576, 0.1287973849110543, -0.19529910528358155, -0.19532370053583975, -0.19532403024119524, -0.19532624389261913, -0.1953177141812938, -0.1953023213063737, (0.9999999999999999+1.8759807300202694e-15j), (0.03902582614179925-4.478701149492037e-15j), (0.03251558349044412+5.4908480998433706e-14j), (0.9999999999999999-1.0538988926904155e-15j), (0.03902366201029594-1.0564596228998259e-14j), (0.03251468309992632-3.7071610804492576e-14j)
