# uuid IPESS_J1.0_JD0.01_D5_chi_opt20.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x, l0_y, l1_y, l2_y
1.0, 0.01, 5, 10, -0.4304075539373011, -0.6456109265319627, -0.6456117352799406, 0.1350972765600581, 0.135107641529231, 0.13509879909168457, -4.495832187131023e-06, -0.13395531750760678, -0.13395531750743445, 2.0004864043964134e-05, 0.0821692168157527, 0.08216921681536783, -1.1106315011176397e-05, 0.05180278697167313, 0.0518027869715618, -0.21521088306569627, -0.2152019178907657, -0.2151981255755189, -0.2151928331532511, -0.21521325285428788, -0.21520564927240163, (0.9999998033929279-0.0006270678636022656j), (0.15613488061856043-9.790718597142227e-05j), (0.12669255212241282-7.944484546664429e-05j), (0.9999951521958272+0.0031137734092698487j), (0.15617039173619263+0.00048628157051146633j), (0.12674596206332253+0.0003946601214517183j)
1.0, 0.01, 5, 20, -0.4304088078909259, -0.6456126489663763, -0.6456137747064014, 0.13509698617459942, 0.13510703906647775, 0.1350974228242587, -4.49869622096652e-06, -0.13395501976450855, -0.1339550197643335, 1.967860530077969e-05, 0.08216861099603195, 0.08216861099552702, -1.1553213522078552e-05, 0.0518016252887287, 0.051801625288653515, -0.21521210669300767, -0.2152029829544782, -0.21519755931892126, -0.21519283094634034, -0.21521438612877913, -0.21520655763128188, (0.9999990451469488+0.0013819208337037012j), (0.16303350285836982+0.00022529962276667442j), (0.13874534140737368+0.00019173528709026433j), (0.999934889878199+0.011411222733523331j), (0.16303840534485595+0.0018605887022344176j), (0.13880507875403342+0.0015840388124466877j)
1.0, 0.01, 5, 40, -0.43040879176506563, -0.6456126249392933, -0.6456137503559036, 0.13509698821599384, 0.13510702758163703, 0.13509741912450982, -4.495113535175803e-06, -0.13395502168454487, -0.13395502168459408, 1.9676964948818995e-05, 0.08216858482953479, 0.0821685848295788, -1.1553956789994055e-05, 0.05180160069404743, 0.05180160069404695, -0.21521209299400468, -0.2152029658011713, -0.21519756614408073, -0.21519281268808768, -0.21521438255233236, -0.21520655511548356, (0.9999999999999999-1.3469221311274659e-11j), (0.16601880705379224+8.333701802490205e-10j), (0.1484254077607885+3.493695545250007e-09j), (1+6.111208539868484e-13j), (0.16607592356941717+7.012667379567046e-10j), (0.14856446306140839+2.46421427074278e-09j)
1.0, 0.01, 5, 80, -0.4304087917247011, -0.645612624883454, -0.6456137502906494, 0.1350969881932, 0.13510702792336, 0.1350974195072432, -4.495117146035234e-06, -0.13395502166392292, -0.13395502166417703, 1.967708105280312e-05, 0.08216858475816614, 0.08216858475810959, -1.1553931864262856e-05, 0.05180160044479923, 0.051801600444913366, -0.21521209305346486, -0.21520296586914953, -0.21519756596077239, -0.21519281266356677, -0.21521438253838165, -0.21520655508870096, (1+2.3667992267114514e-10j), (0.16640119910128773-2.267633481496046e-09j), (0.15037206829797586-9.006654173501077e-09j), (1-2.0078867150742592e-11j), (0.16643264029633836-1.1467774983522085e-09j), (0.1504165753155283-4.1625854301159975e-09j)
