# uuid IPESS_J1.0_JD0.01_D7_chi_opt40.json
# J, J_D, D, chi_obs, energy, e_t_dns, e_t_ups, m_0, m_1, m_2, sz_0, sp_0, sm_0, sz_1, sp_1, sm_1, sz_2, sp_2, sm_2, SS_dn_01, SS_dn_12, SS_dn_02, SS_up_01, SS_up_12, SS_up_02, l0_x, l1_x, l2_x
1.0, 0.01, 7, 10, -0.4342812482221154, -0.6514243223547557, -0.6514194223115906, 0.09262786306995295, 0.09260839813327375, 0.0926258419000017, -4.375639435296568e-05, -0.09160018360590147, -0.09160020468756161, 2.7920153551966986e-05, 0.057700816602635124, 0.05770083162480914, 7.910248794299194e-06, 0.033901352968844244, 0.03390136258419828, -0.2171371579859394, -0.21714599782873578, -0.21714116654008267, -0.2171552293861965, -0.2171363939144633, -0.21712779901093077, (0.999992998100537+0.0037421584546471127j), (0.1978031989518297+0.0007402180570221215j), (0.196313068782198+0.0007346378243289907j)
1.0, 0.01, 7, 20, -0.43429742817018707, -0.6514479565033848, -0.6514443280071764, 0.09260484779510694, 0.09258036727254906, 0.09260066414572879, -4.6565516593044606e-05, -0.09157765462780341, -0.09157765257202688, 2.6338978040163344e-05, 0.05768336962762212, 0.05768336706478935, 9.290927972563069e-06, 0.03389934474277171, 0.0338993441873387, -0.21714976141134204, -0.2171600500273696, -0.21713814506474102, -0.21715086399259784, -0.21715151604920563, -0.21714194796537306, (0.9999870355341763-0.005092029415684777j), (0.23119404054234857-0.0011772628857207917j), (0.19489377150106357-0.0009924176706159313j)
1.0, 0.01, 7, 40, -0.4342981966951596, -0.6514489867973807, -0.6514456032880981, 0.09260681563680638, 0.09258420809954818, 0.09260417163192763, -4.651885289686133e-05, -0.09157963039132766, -0.09157962939835054, 2.5427799756041098e-05, 0.0576846731774277, 0.05768467216511582, 9.324206705879514e-06, 0.033899137678149595, 0.03389913723036774, -0.2171501880878119, -0.2171607449678531, -0.21713805374175738, -0.21715083094720988, -0.2171521858270622, -0.21714258651382606, (0.9999993441862504-0.001145262882153272j), (0.22776593549006005-0.0002608520112423873j), (0.1996215009177772-0.00022861924083658j)
1.0, 0.01, 7, 80, -0.4342982180825896, -0.6514490032485218, -0.651445650999247, 0.09260682550488482, 0.09258425028324119, 0.09260421581608558, -4.6525335053211134e-05, -0.09157963966368698, -0.09157963966367345, 2.5468966072010655e-05, 0.0576847131848875, 0.05768471318502715, 9.292191018262434e-06, 0.03389917530688417, 0.03389917530684634, -0.21715020679468083, -0.21716077017925622, -0.21713802627498108, -0.21715082960307414, -0.2171522180580133, -0.21714260333815957, (1-1.0967936259156105e-12j), (0.23276710017426086-4.998782876024882e-10j), (0.20711797355114334+1.8323371406938548e-11j)
